Id,Label,mergenode,businesstable
10011,FUNCTION_AND_INTERPRETATION.I5,PRODUCTION_NEW.E12,
10015,FUNCTION_AND_INTERPRETATION_ACTOR.E39,PRODUCTION_NEW.E12,domains
